section,category,name,symbol,extra_1,extra_2,source,auth_required,notes
WATCHLIST,NIFTY_50,AXISBANK,AXISBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,MARUTI,MARUTI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,SUNPHARMA,SUNPHARMA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TITAN,TITAN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BAJFINANCE,BAJFINANCE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,NTPC,NTPC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ULTRACEMCO,ULTRACEMCO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,WIPRO,WIPRO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,NESTLEIND,NESTLEIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,M&M,M&M.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,POWERGRID,POWERGRID.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TATASTEEL,TATASTEEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TECHM,TECHM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,JSWSTEEL,JSWSTEEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,INDUSINDBK,INDUSINDBK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BAJAJFINSV,BAJAJFINSV.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HDFCLIFE,HDFCLIFE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,DRREDDY,DRREDDY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,CIPLA,CIPLA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,COALINDIA,COALINDIA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BPCL,BPCL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HEROMOTOCO,HEROMOTOCO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TMPV,TMPV.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BRITANNIA,BRITANNIA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,SHRIRAMFIN,SHRIRAMFIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,SBILIFE,SBILIFE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,EICHERMOT,EICHERMOT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ONGC,ONGC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,GRASIM,GRASIM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BAJAJ-AUTO,BAJAJ-AUTO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ADANIPORTS,ADANIPORTS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ADANIENT,ADANIENT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HINDALCO,HINDALCO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,APOLLOHOSP,APOLLOHOSP.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TATACONSUM,TATACONSUM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,JIOFIN,JIOFIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TRENT,TRENT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ABB,ABB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ADANIGREEN,ADANIGREEN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ADANIPOWER,ADANIPOWER.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,AMBUJACEM,AMBUJACEM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,DMART,DMART.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,BAJAJHLDNG,BAJAJHLDNG.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,BANKBARODA,BANKBARODA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,BERGEPAINT,BERGEPAINT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,BEL,BEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,BOSCHLTD,BOSCHLTD.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,CANBK,CANBK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,CHOLAFIN,CHOLAFIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,COLPAL,COLPAL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,DABUR,DABUR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,DLF,DLF.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,DIVISLAB,DIVISLAB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,GAIL,GAIL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,GODREJCP,GODREJCP.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,HAVELLS,HAVELLS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ICICIGI,ICICIGI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ICICIPRULI,ICICIPRULI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,IOC,IOC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,INDIGO,INDIGO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,IRFC,IRFC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,JINDALSTEL,JINDALSTEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,LICI,LICI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,LTIM,LTIM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,MARICO,MARICO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,MOTHERSON,MOTHERSON.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,NAUKRI,NAUKRI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,PIDILITIND,PIDILITIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,PFC,PFC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,PNB,PNB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,RECLTD,RECLTD.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,SIEMENS,SIEMENS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,SRF,SRF.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,TATAPOWER,TATAPOWER.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,TORNTPHARM,TORNTPHARM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,TVSMOTOR,TVSMOTOR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,VBL,VBL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,VEDL,VEDL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ZOMATO,ZOMATO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ZYDUSLIFE,ZYDUSLIFE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,HAL,HAL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,ADANIENSOL,ADANIENSOL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,JSWENERGY,JSWENERGY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,UNITDSPR,UNITDSPR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,CGPOWER,CGPOWER.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,PERSISTENT,PERSISTENT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_NEXT_50,INDUSTOWER,INDUSTOWER.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ABCAPITAL,ABCAPITAL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ABFRL,ABFRL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ACC,ACC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,AIAENG,AIAENG.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ALKEM,ALKEM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,APLAPOLLO,APLAPOLLO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ASHOKLEY,ASHOKLEY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ASTRAL,ASTRAL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,AUROPHARMA,AUROPHARMA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BALKRISIND,BALKRISIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BANDHANBNK,BANDHANBNK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BANKINDIA,BANKINDIA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BHARATFORG,BHARATFORG.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BHEL,BHEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,BIOCON,BIOCON.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,COFORGE,COFORGE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,CONCOR,CONCOR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,CUMMINSIND,CUMMINSIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,DALBHARAT,DALBHARAT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,DEEPAKNTR,DEEPAKNTR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,DELHIVERY,DELHIVERY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,DIXON,DIXON.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,ESCORTS,ESCORTS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,EXIDEIND,EXIDEIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,FACT,FACT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,FEDERALBNK,FEDERALBNK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,FLUOROCHEM,FLUOROCHEM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,FORTIS,FORTIS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,GMRINFRA,GMRINFRA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,GODREJPROP,GODREJPROP.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,GUJGASLTD,GUJGASLTD.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,HDFCAMC,HDFCAMC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,HINDPETRO,HINDPETRO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,HONAUT,HONAUT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,IDFCFIRSTB,IDFCFIRSTB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,IDEA,IDEA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,IGL,IGL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,INDHOTEL,INDHOTEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,IPCALAB,IPCALAB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,IRCTC,IRCTC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,JUBLFOOD,JUBLFOOD.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,KPITTECH,KPITTECH.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,L&TFH,L&TFH.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,LICHSGFIN,LICHSGFIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,LUPIN,LUPIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,M&MFIN,M&MFIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,MAXHEALTH,MAXHEALTH.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,MAZDOCK,MAZDOCK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,MFSL,MFSL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_MIDCAP_100,MPHASIS,MPHASIS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
